X,Y,Z,SignedDistance
329534.775461465,7744830.95238226,168.737804493438,-24.494
329535.140915556,7744830.9651442,168.396805313407,-24.993
329535.506369646,7744830.97790614,168.055806133376,-25.493
329535.871823736,7744830.99066808,167.714806953345,-25.993
329536.237277827,7744831.00343002,167.373807773313,-26.493
329536.602731917,7744831.01619195,167.032808593282,-26.993
329536.968186007,7744831.02895389,166.691809413251,-27.493
329537.333640098,7744831.04171583,166.35081023322,-27.993
329537.699094188,7744831.05447777,166.009811053188,-28.493
329538.064548278,7744831.06723971,165.668811873157,-28.993
329538.430002369,7744831.08000164,165.327812693126,-29.493
329538.795456459,7744831.09276358,164.986813513095,-29.993
329539.160910549,7744831.10552552,164.645814333063,-30.492
329539.52636464,7744831.11828746,164.304815153032,-30.992
329539.89181873,7744831.1310494,163.963815973001,-30.883
329540.25727282,7744831.14381133,163.62281679297,-30.662
329540.622726911,7744831.15657327,163.281817612938,-30.448
329540.988181001,7744831.16933521,162.940818432907,-30.241
329541.353635092,7744831.18209715,162.599819252876,-30.04
329541.719089182,7744831.19485909,162.258820072845,-29.846
329542.084543272,7744831.20762102,161.917820892813,-29.66
329542.449997363,7744831.22038296,161.576821712782,-29.481
329542.815451453,7744831.2331449,161.235822532751,-29.309
329543.180905543,7744831.24590684,160.89482335272,-29.145
329543.546359634,7744831.25866878,160.553824172688,-28.988
329543.911813724,7744831.27143071,160.212824992657,-28.84
329544.277267814,7744831.28419265,159.871825812626,-28.699
329544.642721905,7744831.29695459,159.530826632595,-28.566
329545.008175995,7744831.30971653,159.189827452563,-28.442
329545.373630085,7744831.32247847,158.848828272532,-28.326
329545.739084176,7744831.3352404,158.507829092501,-28.218
329546.104538266,7744831.34800234,158.16682991247,-28.118
329546.469992356,7744831.36076428,157.825830732438,-28.028
329546.835446447,7744831.37352622,157.484831552407,-27.946
329547.200900537,7744831.38628816,157.143832372376,-27.872
329547.566354627,7744831.3990501,156.802833192345,-27.808
329547.931808718,7744831.41181203,156.461834012313,-27.752
329548.297262808,7744831.42457397,156.120834832282,-27.705
329548.662716899,7744831.43733591,155.779835652251,-27.667
329549.028170989,7744831.45009785,155.43883647222,-27.638
