X,Y,Z
329000,7743604.21755985,410.027043787095
329002.679883603,7743606.12942493,410.03697369633
329000,7743606.12946553,410.0433498956
329000,7743608.04139448,410.059732937664
329000.663989874,7743608.98044785,410.066199816729
329000,7743608.98045748,410.067710186622
329000,7743609.9195107,410.075723745185
329002.679860199,7743611.83141055,410.08587836416
329000,7743611.83144947,410.092017657943
329000,7743613.74340891,410.10838681577
329000.663968734,7743614.68243274,410.114905223656
329000,7743614.68244194,410.116355292876
329000,7743615.62146648,410.124359195427
329000,7743617.53343439,410.140635893047
329002.679839558,7743617.53339729,410.134743199413
329000,7743619.44542025,410.156985947177
329000.663950429,7743620.38441854,410.163555766449
329000,7743620.38442726,410.164943133159
329000,7743621.3234271,410.172934761105
329000,7743623.23542003,410.189188899027
329002.679821812,7743623.23538489,410.183552714734
329000,7743625.14742808,410.205514294499
329000.663935089,7743626.08640496,410.212135298821
329000,7743626.08641317,410.213457510114
329000,7743627.02539251,410.221434079814
329000,7743628.93740614,410.237659974229
329002.679807095,7743628.93737311,410.232290417029
329000,7743630.84943191,410.253954806233
329000.663922845,7743631.78839174,410.260626651849
329000,7743631.78839941,410.26188120534
329000,7743632.72736259,410.269839761066
329000,7743634.63939243,410.286031374609
329002.679795542,7743634.63936165,410.280938763755
329000,7743636.55143129,410.302289373997
329000.66391383,7743637.49037858,410.30901159084
329000,7743637.49038567,410.310195936524
329000,7743638.42933724,410.318133343329
329000,7743640.34137857,410.33428427063
329002.679787288,7743640.3413502,410.329479118657
329000,7743642.2534257,410.350498789234
329000.663908174,7743643.19236515,410.357270771646
329000,7743643.19237162,410.358382314047
329000,7743644.1313163,410.36629525052
329000,7743646.04336424,410.382398703539
329002.679782467,7743646.04333843,410.377891706803
329000,7743647.95541461,410.398562699387
329000.66390601,7743648.8943511,410.405383696439
329000,7743648.89435692,410.40641979707
329000,7743649.83329962,410.41430474805
329000,7743651.74534908,410.430353541402
329002.679781213,7743651.74532599,410.426155569296
329000,7743653.65739747,410.446459563863
329000.663907464,7743654.59633607,410.453328669286
329000,7743654.5963412,410.454286649439
329000,7743655.53528698,410.46213989865
329000,7743657.4473327,410.478126434803
329002.679783657,7743657.44731247,410.474248517557
329000,7743659.35937372,410.494166609714
329000.663912665,7743660.29831966,410.501082751445
329000,7743660.29832406,410.50195989533
329000,7743661.29174749,410.510230902251
329000,7743663.16667253,410.525839864107
329002.692421943,7743663.3101251,410.523474498074
329000,7743664.9734906,410.540925452292
329000.663898178,7743666.00027133,410.54861972102
329000,7743666.00027392,410.54941317976
329000,7743666.93918538,410.557189930185
329002.679754253,7743668.85122203,410.569822550247
329000,7743668.8512319,410.573026346269
329000.663861467,7743671.70218765,410.595913601279
329000,7743670.76331329,410.588908684275
329000,7743671.70218959,410.596620651811
329000,7743672.64105023,410.604352652159
329002.679718421,7743674.55313934,410.617252075874
329000,7743674.55314651,410.620101886688
329000.663828823,7743677.40410177,410.642939600609
329000,7743676.46527373,410.635892552054
329000,7743677.40410302,410.643557453574
329000,7743678.34291855,410.651240116246
329002.679686749,7743680.25505433,410.664408442516
329000,7743680.25505866,410.666892768142
329000.663800386,7743683.10601323,410.689669361056
329000,7743682.16722563,410.68258203663
329000,7743683.10601376,410.69019520732
329000,7743684.04479005,410.697823708776
329002.679659379,7743685.95696651,410.711262625252
329000,7743685.95696787,410.713369891262
329000.66377629,7743688.80792153,410.736073063544
329000,7743687.86916834,410.728947541688
329000,7743688.80792131,410.736504079421
329000,7743689.74666443,410.744073353318
329002.679636446,7743691.65887538,410.757784100212
329000,7743691.65887364,410.759502680265
329000.663756663,7743694.50982616,410.78211938661
329000,7743693.57110116,410.774957981006
329000,7743694.50982517,410.782452739565
329000,7743695.44854136,410.789957470111
329002.679618079,7743697.36078041,410.803940802468
329000,7743697.36077545,410.805259042876
329000.663741621,7743700.21172658,410.827775466768
329000,7743699.27302339,410.820580739041
329000,7743700.21172479,410.828008321626
329000,7743701.15042046,410.835442937197
329002.679604397,7743703.06268105,410.84969908568
329000,7743703.06267275,410.850605332092
329000.663731276,7743705.91362224,410.873006860614
329000,7743704.97493432,410.865781633311
329000,7743705.91361961,410.873136386293
329000,7743706.85230131,410.880495053386
329002.679595507,7743708.7645767,410.895023673811
329000,7743708.76456496,410.895506306599
329000.663725721,7743711.61551254,410.917777498628
329000,7743710.67683324,410.910524871891
329000,7743711.61550906,410.917800877169
329000,7743712.55418346,410.925077492682
329002.679591516,7743714.46646679,410.939877517337
329000,7743714.46645151,410.939925053272
329000.663725053,7743717.31739691,410.962049545186
329000,7743716.37871943,410.954772944925
329000,7743717.31739255,410.961963974755
329000,7743718.25606644,410.969152165792
329002.679592501,7743720.16835069,410.984222280609
329000,7743720.16833179,410.983823060256
329000.663729333,7743723.01927469,411.005783894815
329000,7743722.08059218,410.998486912964
329000,7743723.01926944,411.005586600237
329000,7743723.95794971,411.0126797188
329002.679598534,7743725.87022776,411.02801749419
329000,7743725.87020516,411.027160268294
329000.663738621,7743728.72114527,411.04893931569
329000,7743727.78245076,411.041625998648
329000,7743728.72113911,411.04862756272
329000,7743729.6598327,411.055618674343
329002.679609669,7743731.57209734,411.071221082037
329000,7743731.57207098,411.069894672803
329000.663752955,7743734.42300799,411.091472990526
329000,7743733.48429449,411.084147664814
329000,7743734.42300091,411.091044089269
329000,7743735.36171483,411.097925976745
329002.679625942,7743737.27395876,411.113789200755
329000,7743737.2739286,411.11198263849
329000,7743739.18612266,411.126007690426
329000.663772354,7743740.12486219,411.133340357458
329000,7743740.12485418,411.132791674567
329000,7743741.06359543,411.139556833486
329000,7743742.97577736,411.153378789012
329000.663796819,7743745.82670719,411.17449509748
329000,7743744.88793462,411.167160110355
329000,7743745.82669824,411.173824067041
329000,7743746.76547385,411.180464704211
329000,7743748.67761659,411.194035997922
329000.663826324,7743751.52854231,411.214889127786
329000,7743750.58972973,411.207557208386
329000,7743751.52853244,411.214093262821
329000,7743752.46734936,411.2206012957
329000,7743754.37944561,411.233905385705
329000.663860822,7743757.23036689,411.25447260139
329000,7743756.29150737,411.247149516444
329000,7743757.23035609,411.253549506
329000,7743758.16922121,411.259916563247
329000,7743760.08126375,411.272936323485
329000.663900238,7743762.93218024,411.29319391395
329000,7743761.99326698,411.285885820831
329000,7743762.93216854,411.292141296063
329000,7743763.87108864,411.298358719352
329000,7743765.78307036,411.311076444227
329000.663944471,7743768.6339817,411.330999718248
329000,7743767.69500803,411.323713176054
329000,7743768.63396911,411.329815402971
329000,7743769.57295081,411.335874250166
329000,7743771.48486476,411.348271661952
329000.663993388,7743774.33577062,411.367834947238
329000,7743773.39673008,411.360576927021
329000,7743774.33575717,411.366516890793
329000,7743775.27480691,411.372407940616
329000,7743777.18664635,411.384466199841
329000.664046828,7743780.03754638,411.403642846222
329000,7743779.0984327,411.396420740249
329000,7743780.03753209,411.402189150425
329000,7743780.97665607,411.407902908754
329000,7743782.88841449,411.419602627804
329000.664104596,7743785.73930836,411.43836501502
329000,7743784.80011558,411.431186644862
329000,7743785.73929329,411.436773942268
329000,7743786.67849742,411.442300650189
329000,7743788.59016862,411.453621910387
329000.664166464,7743791.441056,411.471941460811
329000,7743790.50177846,411.464815084105
329000,7743791.44104019,411.470211449527
329000,7743792.38033007,411.475541093258
329000,7743794.29190819,411.486463465592
329000.664232169,7743797.14278878,411.504310662347
329000,7743796.20342118,411.497244978036
329000,7743797.14277229,411.502440342827
329000,7743798.08215314,411.507562665676
329000,7743799.99363272,411.518065235498
329000.664301413,7743802.84450623,411.535409646378
329000,7743801.90504368,411.528413798219
329000,7743802.84448911,411.533397856958
329000,7743803.78396573,411.538302373387
329002.680202248,7743805.69541282,411.556645376695
329000,7743805.69534176,411.548363769191
329000.664373861,7743808.54620792,411.565174076812
329000,7743807.60664601,411.558257654962
329000,7743808.54619025,411.563019880277
329000,7743809.48576698,411.567695892251
329002.680277054,7743811.39710818,411.58615668827
329000,7743811.39703495,411.577294318852
329000.664449144,7743814.24789351,411.593538357428
329000,7743813.30822834,411.586711397881
329000,7743814.24787537,411.591241057567
329000,7743815.18755602,411.595677673248
329002.680354626,7743817.09878703,411.614236518825
329000,7743817.09871197,411.604790949443
329000.664526855,7743819.94956273,411.620435748591
329000,7743819.00979095,411.613708730264
329000,7743819.94954421,411.617994906784
329000,7743820.88933203,411.622181061698
329002.680434538,7743822.80044914,411.64081678827
329000,7743822.80037262,411.630786662661
329000.664606553,7743825.65121541,411.645798498626
329000,7743824.71133428,411.639182337849
329000,7743825.6511966,411.64321395034
329000,7743826.59109421,411.64713843109
329002.680516329,7743828.50209433,411.665828425748
329000,7743828.50201675,411.655213535594
329000.664687761,7743831.35285144,411.66955799016
329000,7743830.41285889,411.663064032401
329000,7743831.35283245,411.666829861218
329000,7743832.29284182,411.670481331809
329002.6805995,7743834.20372255,411.689201524614
329000,7743834.20364436,411.678002874407
329000.664769971,7743837.05447087,411.691644901888
329000,7743836.1143655,411.685284910447
329000,7743837.0544518,411.68877362436
329000,7743837.9945742,411.692140655187
329002.680683521,7743839.90533386,411.710865513439
329000,7743839.90525552,411.69908538341
329000.664852643,7743842.75607381,411.711989385865
329000,7743841.815855,411.705775527386
329000,7743842.7560548,411.708975713415
329000,7743843.69629073,411.712046812929
329002.680767829,7743845.60692842,411.730749343076
329000,7743845.60685045,411.718391349536
329000.664935206,7743848.45766055,411.730521260479
329000,7743847.51732842,411.724466087055
329000,7743848.45764171,411.727366282995
329000,7743849.39799091,411.730129932046
329002.680851835,7743851.30850656,411.748781689944
329000,7743851.30842947,411.735850842307
329000.665017068,7743854.15923147,411.747170220681
329000,7743853.218787,411.74128664784
329000,7743854.15921294,411.743875377715
329000,7743855.09967432,411.746320067377
329002.680934922,7743857.01006871,411.764891191398
329000,7743857.00999307,411.7513939367
329000.665097611,7743859.86078712,411.761866070937
329000,7743858.9202321,411.756167350022
329000,7743859.86076903,411.758433164807
329000,7743860.80134066,411.760547433111
329002.681016452,7743862.7116155,411.779006618598
329000,7743862.71154186,411.764950922706
329000.665176201,7743865.5623282,411.77453891014
329000,7743864.62166529,411.769038614739
329000,7743865.5623107,411.770970118063
329000,7743866.50298976,411.772742594644
329002.681095772,7743868.41314766,411.791057213597
329000,7743868.41307663,411.776452554822
329000,7743870.32308832,411.779831439755
329000.665252191,7743871.26385556,411.785119472242
329000,7743871.26383879,411.781417353735
329000,7743872.2046216,411.782836804238
329000,7743874.11459831,411.78583033961
329000.665324926,7743876.96537022,411.793539331372
329000,7743876.02450309,411.788477643986
329000,7743876.96535433,411.789706838324
329000,7743877.9062363,411.790762209335
329000,7743879.81610801,411.793016773883
